Country Name,Year,Value_old,Value_new
Africa Eastern and Southern,2023,,
Africa Eastern and Southern,2022,7.0,720859132.0
Africa Eastern and Southern,2021,7.0,702977106.0
Africa Eastern and Southern,2020,,685112979.0
Africa Eastern and Southern,2019,,667242986.0
Africa Eastern and Southern,2018,,649757148.0
Africa Western and Central,2023,,
Arab World,2023,,
Caribbean small states,2023,,
Central Europe and the Baltics,2023,,
Early-demographic dividend,2023,,
East Asia & Pacific,2023,,
East Asia & Pacific (excluding high income),2023,,
East Asia & Pacific (IDA & IBRD countries),2023,,
Euro area,2023,,
Europe & Central Asia,2023,,
Europe & Central Asia (excluding high income),2023,,
Europe & Central Asia (IDA & IBRD countries),2023,,
European Union,2023,,
Fragile and conflict affected situations,2023,,
Heavily indebted poor countries (HIPC),2023,,
High income,2023,,
IBRD only,2023,,
IDA & IBRD total,2023,,
IDA blend,2023,,
IDA only,2023,,
IDA total,2023,,
Late-demographic dividend,2023,,
Latin America & Caribbean,2023,,
Latin America & Caribbean (excluding high income),2023,,
Latin America & the Caribbean (IDA & IBRD countries),2023,,
Least developed countries: UN classification,2023,,
Low & middle income,2023,,
Low income,2023,,
Lower middle income,2023,,
Middle East & North Africa,2023,,
Middle East & North Africa (excluding high income),2023,,
Middle East & North Africa (IDA & IBRD countries),2023,,
Middle income,2023,,
North America,2023,,
Not classified,2023,,
Not classified,2022,,
Not classified,2021,,
Not classified,2020,,
Not classified,2019,,
Not classified,2018,,
Not classified,2017,,
Not classified,2016,,
Not classified,2015,,
Not classified,2014,,
Not classified,2013,,
Not classified,2012,,
Not classified,2011,,
Not classified,2010,,
Not classified,2009,,
Not classified,2008,,
Not classified,2007,,
Not classified,2006,,
Not classified,2005,,
Not classified,2004,,
Not classified,2003,,
Not classified,2002,,
Not classified,2001,,
Not classified,2000,,
Not classified,1999,,
Not classified,1998,,
Not classified,1997,,
Not classified,1996,,
Not classified,1995,,
Not classified,1994,,
Not classified,1993,,
Not classified,1992,,
Not classified,1991,,
Not classified,1990,,
Not classified,1989,,
Not classified,1988,,
Not classified,1987,,
Not classified,1986,,
Not classified,1985,,
Not classified,1984,,
Not classified,1983,,
Not classified,1982,,
Not classified,1981,,
Not classified,1980,,
Not classified,1979,,
Not classified,1978,,
Not classified,1977,,
Not classified,1976,,
Not classified,1975,,
Not classified,1974,,
Not classified,1973,,
Not classified,1972,,
Not classified,1971,,
Not classified,1970,,
Not classified,1969,,
Not classified,1968,,
Not classified,1967,,
Not classified,1966,,
Not classified,1965,,
Not classified,1964,,
Not classified,1963,,
Not classified,1962,,
Not classified,1961,,
Not classified,1960,,
OECD members,2023,,
Other small states,2023,,
Pacific island small states,2023,,
Post-demographic dividend,2023,,
Pre-demographic dividend,2023,,
Small states,2023,,
South Asia,2023,,
South Asia (IDA & IBRD),2023,,
Sub-Saharan Africa,2023,,
Sub-Saharan Africa (excluding high income),2023,,
Sub-Saharan Africa (IDA & IBRD countries),2023,,
Upper middle income,2023,,
World,2023,,
Afghanistan,2023,,
Albania,2023,,
Algeria,2023,,
American Samoa,2023,,
Andorra,2023,,
Angola,2023,,
Antigua and Barbuda,2023,,
Argentina,2023,,
Armenia,2023,,
Aruba,2023,,
Australia,2023,,
Austria,2023,,
Azerbaijan,2023,,
"Bahamas, The",2023,,
Bahrain,2023,,
Bangladesh,2023,,
Barbados,2023,,
Belarus,2023,,
Belgium,2023,,
Belize,2023,,
Benin,2023,,
Bermuda,2023,,
Bhutan,2023,,
Bolivia,2023,,
Bosnia and Herzegovina,2023,,
Botswana,2023,,
Brazil,2023,,
British Virgin Islands,2023,,
Brunei Darussalam,2023,,
Bulgaria,2023,,
Burkina Faso,2023,,
Burundi,2023,,
Cabo Verde,2023,,
Cambodia,2023,,
Cameroon,2023,,
Canada,2023,,
Cayman Islands,2023,,
Central African Republic,2023,,
Chad,2023,,
Channel Islands,2023,,
Chile,2023,,
China,2023,,
Colombia,2023,,
Comoros,2023,,
"Congo, Dem. Rep.",2023,,
"Congo, Rep.",2023,,
Costa Rica,2023,,
Cote d'Ivoire,2023,,
Croatia,2023,,
Cuba,2023,,
Curacao,2023,,
Cyprus,2023,,
Czechia,2023,,
Denmark,2023,,
Djibouti,2023,,
Dominica,2023,,
Dominican Republic,2023,,
Ecuador,2023,,
"Egypt, Arab Rep.",2023,,
El Salvador,2023,,
Equatorial Guinea,2023,,
Eritrea,2023,,
Estonia,2023,,
Eswatini,2023,,
Ethiopia,2023,,
Faroe Islands,2023,,
Fiji,2023,,
Finland,2023,,
France,2023,,
French Polynesia,2023,,
Gabon,2023,,
"Gambia, The",2023,,
Georgia,2023,,
Germany,2023,,
Ghana,2023,,
Gibraltar,2023,,
Greece,2023,,
Greenland,2023,,
Grenada,2023,,
Guam,2023,,
Guatemala,2023,,
Guinea,2023,,
Guinea-Bissau,2023,,
Guyana,2023,,
Haiti,2023,,
Honduras,2023,,
"Hong Kong SAR, China",2023,,
Hungary,2023,,
Iceland,2023,,
India,2023,,
Indonesia,2023,,
"Iran, Islamic Rep.",2023,,
Iraq,2023,,
Ireland,2023,,
Isle of Man,2023,,
Israel,2023,,
Italy,2023,,
Jamaica,2023,,
Japan,2023,,
Jordan,2023,,
Kazakhstan,2023,,
Kenya,2023,,
Kiribati,2023,,
"Korea, Dem. People's Rep.",2023,,
"Korea, Rep.",2023,,
Kosovo,2023,,
Kuwait,2023,,
Kyrgyz Republic,2023,,
Lao PDR,2023,,
Latvia,2023,,
Lebanon,2023,,
Lesotho,2023,,
Liberia,2023,,
Libya,2023,,
Liechtenstein,2023,,
Lithuania,2023,,
Luxembourg,2023,,
"Macao SAR, China",2023,,
Madagascar,2023,,
Malawi,2023,,
Malaysia,2023,,
Maldives,2023,,
Mali,2023,,
Malta,2023,,
Marshall Islands,2023,,
Mauritania,2023,,
Mauritius,2023,,
Mexico,2023,,
"Micronesia, Fed. Sts.",2023,,
Moldova,2023,,
Monaco,2023,,
Mongolia,2023,,
Montenegro,2023,,
Morocco,2023,,
Mozambique,2023,,
Myanmar,2023,,
Namibia,2023,,
Nauru,2023,,
Nepal,2023,,
Netherlands,2023,,
New Caledonia,2023,,
New Zealand,2023,,
Nicaragua,2023,,
Niger,2023,,
Nigeria,2023,,
North Macedonia,2023,,
Northern Mariana Islands,2023,,
Norway,2023,,
Oman,2023,,
Pakistan,2023,,
Palau,2023,,
Panama,2023,,
Papua New Guinea,2023,,
Paraguay,2023,,
Peru,2023,,
Philippines,2023,,
Poland,2023,,
Portugal,2023,,
Puerto Rico,2023,,
Qatar,2023,,
Romania,2023,,
Russian Federation,2023,,
Rwanda,2023,,
Samoa,2023,,
San Marino,2023,,
Sao Tome and Principe,2023,,
Saudi Arabia,2023,,
Senegal,2023,,
Serbia,2023,,
Seychelles,2023,,
Sierra Leone,2023,,
Singapore,2023,,
Sint Maarten (Dutch part),2023,,
Slovak Republic,2023,,
Slovenia,2023,,
Solomon Islands,2023,,
Somalia,2023,,
South Africa,2023,,
South Sudan,2023,,
Spain,2023,,
Sri Lanka,2023,,
St. Kitts and Nevis,2023,,
St. Lucia,2023,,
St. Martin (French part),2023,,
St. Vincent and the Grenadines,2023,,
Sudan,2023,,
Suriname,2023,,
Sweden,2023,,
Switzerland,2023,,
Syrian Arab Republic,2023,,
Tajikistan,2023,,
Tanzania,2023,,
Thailand,2023,,
Timor-Leste,2023,,
Togo,2023,,
Tonga,2023,,
Trinidad and Tobago,2023,,
Tunisia,2023,,
Turkiye,2023,,
Turkmenistan,2023,,
Turks and Caicos Islands,2023,,
Tuvalu,2023,,
Uganda,2023,,
Ukraine,2023,,
United Arab Emirates,2023,,
United Kingdom,2023,,
United States,2023,,
Uruguay,2023,,
Uzbekistan,2023,,
Vanuatu,2023,,
"Venezuela, RB",2023,,
Viet Nam,2023,,
Virgin Islands (U.S.),2023,,
West Bank and Gaza,2023,,
West Bank and Gaza,1989,,
West Bank and Gaza,1988,,
West Bank and Gaza,1987,,
West Bank and Gaza,1986,,
West Bank and Gaza,1985,,
West Bank and Gaza,1984,,
West Bank and Gaza,1983,,
West Bank and Gaza,1982,,
West Bank and Gaza,1981,,
West Bank and Gaza,1980,,
West Bank and Gaza,1979,,
West Bank and Gaza,1978,,
West Bank and Gaza,1977,,
West Bank and Gaza,1976,,
West Bank and Gaza,1975,,
West Bank and Gaza,1974,,
West Bank and Gaza,1973,,
West Bank and Gaza,1972,,
West Bank and Gaza,1971,,
West Bank and Gaza,1970,,
West Bank and Gaza,1969,,
West Bank and Gaza,1968,,
West Bank and Gaza,1967,,
West Bank and Gaza,1966,,
West Bank and Gaza,1965,,
West Bank and Gaza,1964,,
West Bank and Gaza,1963,,
West Bank and Gaza,1962,,
West Bank and Gaza,1961,,
West Bank and Gaza,1960,,
"Yemen, Rep.",2023,,
Zambia,2023,,
Zimbabwe,2023,,
